'H','X20180228RPOS36701A','02/28/2018 12:03','AR','ITEM_XREF',174
'X','X20180228RPOS36701A','02/28/2018 12:03','414011400061',2,'0000000000001401140006'
'X','X20180228RPOS36701A','02/28/2018 12:03','414011400078',2,'0000000000001401140007'
'X','X20180228RPOS36701A','02/28/2018 12:03','414011400085',2,'0000000000001401140008'
'X','X20180228RPOS36701A','02/28/2018 12:03','414011400092',2,'0000000000001401140009'
'X','X20180228RPOS36701A','02/28/2018 12:03','414011400108',2,'0000000000001401140010'
'X','X20180228RPOS36701A','02/28/2018 12:03','414011400115',2,'0000000000001401140011'
'X','X20180228RPOS36701A','02/28/2018 12:03','884547888587',2,'0000000000001401150001'
'X','X20180228RPOS36701A','02/28/2018 12:03','884547888594',2,'0000000000001401150002'
'X','X20180228RPOS36701A','02/28/2018 12:03','884547888600',2,'0000000000001401150003'
'X','X20180228RPOS36701A','02/28/2018 12:03','884547888617',2,'0000000000001401150004'
'X','X20180228RPOS36701A','02/28/2018 12:03','884547888624',2,'0000000000001401150005'
'X','X20180228RPOS36701A','02/28/2018 12:03','884547888631',2,'0000000000001401150006'
'X','X20180228RPOS36701A','02/28/2018 12:03','884547888648',2,'0000000000001401150007'
'X','X20180228RPOS36701A','02/28/2018 12:03','884547888655',2,'0000000000001401150008'
'X','X20180228RPOS36701A','02/28/2018 12:03','884547888662',2,'0000000000001401150009'
'X','X20180228RPOS36701A','02/28/2018 12:03','884547888686',2,'0000000000001401150010'
'X','X20180228RPOS36701A','02/28/2018 12:03','884547888693',2,'0000000000001401150011'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554068',2,'0000000000001401160001'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554075',2,'0000000000001401160002'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554082',2,'0000000000001401160003'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554013',2,'0000000000001401170001'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554020',2,'0000000000001401170002'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554037',2,'0000000000001401170003'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554273',2,'0000000000001401180001'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554280',2,'0000000000001401180002'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554297',2,'0000000000001401180003'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554303',2,'0000000000001401180004'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554310',2,'0000000000001401190001'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554327',2,'0000000000001401190002'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554334',2,'0000000000001401190003'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554181',2,'0000000000001401200001'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554198',2,'0000000000001401200002'
'X','X20180228RPOS36701A','02/28/2018 12:03','888341554204',2,'0000000000001401200003'
'X','X20180228RPOS36701A','02/28/2018 12:03','7045952270432',5,'0000000000001401780001'
'X','X20180228RPOS36701A','02/28/2018 12:03','414017900015',2,'0000000000001401790001'
'X','X20180228RPOS36701A','02/28/2018 12:03','780292104074',2,'0000000000001401800001'
'X','X20180228RPOS36701A','02/28/2018 12:03','075536304359',2,'0000000000001401950001'
'X','X20180228RPOS36701A','02/28/2018 12:03','780292105064',2,'0000000000001402010001'
'X','X20180228RPOS36701A','02/28/2018 12:03','753759188184',2,'0000000000001402110001'
'X','X20180228RPOS36701A','02/28/2018 12:03','753759188221',2,'0000000000001402120001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443483',2,'0000000000001402130001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443490',2,'0000000000001402130002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443513',2,'0000000000001402140001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443520',2,'0000000000001402140002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443537',2,'0000000000001402140003'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443339',2,'0000000000001402150001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443346',2,'0000000000001402150002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443353',2,'0000000000001402150003'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443292',2,'0000000000001402160001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443308',2,'0000000000001402160002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443421',2,'0000000000001402170001'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443438',2,'0000000000001402170002'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443445',2,'0000000000001402170003'
'X','X20180228RPOS36701A','02/28/2018 12:03','684334443544',2,'0000000000001402180001'
